epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.808,2.14414,3.49397,1.85581,0.29532,0.3103,0.20548,0.08844,1.92016,2.39938,1.68703,0.000475277,0.000475277,0.000475277
1,224.209,2.1567,3.52451,1.87179,0.23242,0.29732,0.19796,0.07797,1.92982,2.23628,1.65614,0.000475277,0.000475277,0.000475277
2,500.519,1.98848,2.49031,1.74126,0.30092,0.31217,0.23548,0.09109,1.95596,2.13015,1.72939,0.000857401,0.000857401,0.000857401
3,776.007,1.95824,2.29012,1.74714,0.32254,0.34944,0.25597,0.10541,1.84584,2.13655,1.6772,0.00114521,0.00114521,0.00114521
4,1059.37,1.89893,2.16321,1.69581,0.40885,0.43444,0.3573,0.1613,1.76588,1.90691,1.59985,0.00100459,0.00100459,0.00100459
5,1334.13,1.8381,2.04461,1.64994,0.39044,0.47948,0.36998,0.17007,1.71781,1.84177,1.56478,0.000863116,0.000863116,0.000863116
6,1616.62,1.78377,1.95604,1.60817,0.45314,0.49139,0.42609,0.19566,1.672,1.73874,1.53119,0.000721645,0.000721645,0.000721645
7,2003.76,1.74287,1.8999,1.5853,0.44669,0.51656,0.43592,0.20832,1.63598,1.70223,1.51982,0.000580174,0.000580174,0.000580174
8,2374.37,1.69708,1.81297,1.5504,0.47699,0.53938,0.47762,0.23731,1.57828,1.60634,1.47456,0.000438703,0.000438703,0.000438703
9,2739.75,1.65153,1.74584,1.52782,0.50456,0.55903,0.50963,0.25739,1.56504,1.57138,1.47968,0.000297232,0.000297232,0.000297232
10,3086.3,1.61599,1.6791,1.50734,0.53844,0.56822,0.53665,0.27759,1.53044,1.50878,1.45116,0.000155761,0.000155761,0.000155761
1,403.825,2.15474,3.52397,1.85686,0.25734,0.32976,0.21025,0.0828,1.89756,2.38421,1.7045,0.000475277,0.000475277,0.000475277
2,788.371,1.99515,2.49661,1.73516,0.23511,0.35619,0.23827,0.09783,1.90188,2.14818,1.68804,0.000857401,0.000857401,0.000857401
3,1179.72,1.96081,2.29033,1.71789,0.34674,0.39891,0.30355,0.12694,1.84826,2.04547,1.63854,0.00114521,0.00114521,0.00114521
4,1550.01,1.89271,2.15207,1.67245,0.39838,0.42305,0.35415,0.15653,1.78763,1.8964,1.61989,0.00100459,0.00100459,0.00100459
5,1915.15,1.83449,2.04355,1.64591,0.39262,0.47459,0.37875,0.17528,1.70412,1.83205,1.56002,0.000863116,0.000863116,0.000863116
6,2274.23,1.77965,1.95245,1.59626,0.4261,0.48303,0.39921,0.18146,1.67167,1.77158,1.5477,0.000721645,0.000721645,0.000721645
7,2644.34,1.73783,1.89069,1.57577,0.46705,0.5203,0.4564,0.22524,1.61801,1.69123,1.48959,0.000580174,0.000580174,0.000580174
8,3013.33,1.6967,1.8046,1.53875,0.49363,0.52082,0.48049,0.24551,1.59603,1.62483,1.47676,0.000438703,0.000438703,0.000438703
9,3291.91,1.65256,1.74553,1.51698,0.52277,0.52437,0.5195,0.26428,1.55755,1.54268,1.45917,0.000297232,0.000297232,0.000297232
10,3480.97,1.62217,1.67644,1.49815,0.53277,0.56726,0.53208,0.27706,1.53903,1.50967,1.44396,0.000155761,0.000155761,0.000155761
1,188.906,2.17804,3.29537,1.82197,0.20991,0.27305,0.16215,0.06372,1.92993,2.65105,1.69378,0.000475277,0.000475277,0.000475277
1,212.935,2.17509,3.30504,1.8203,0.21327,0.29088,0.1729,0.07226,1.91239,2.37754,1.70001,0.000475277,0.000475277,0.000475277
1,286.075,2.1793,3.30291,1.83181,0.24014,0.28725,0.18831,0.07365,1.92675,2.43656,1.70423,0.000475277,0.000475277,0.000475277
2,500.646,2.03902,2.49698,1.71606,0.28102,0.34018,0.22785,0.09266,1.95074,2.1547,1.76031,0.000932769,0.000932769,0.000932769
